candidate_id,rank,score,reasoning
CAND_0018499,1,0.657125,"7-year Senior Machine Learning Engineer at Zomato with hands-on with embedding, vector, faiss; production ML deployment experience; tier-1 institution (Massachusetts Institute of Technology)."
CAND_0071974,2,0.630599,"8-year Senior AI Engineer at Netflix with hands-on with embedding, qdrant, pinecone; production ML deployment experience; tier-1 institution (NIT Warangal)."
CAND_0046064,3,0.629611,"9-year Senior NLP Engineer at Salesforce with hands-on with embedding, vector, faiss; strong Python (expert); production ML deployment experience."
CAND_0077337,4,0.627819,"7-year Staff Machine Learning Engineer at Paytm with hands-on with embedding, vector, qdrant; strong Python (expert); production ML deployment experience."
CAND_0088025,5,0.617372,"9-year Staff Machine Learning Engineer at Yellow.ai with hands-on with embedding, vector, pinecone; strong Python (expert); verified Pinecone score 94/100. Concerns: 90-day notice period."
CAND_0007009,6,0.604784,"8-year Recommendation Systems Engineer at Wysa with hands-on with embedding, faiss, pinecone; strong Python (expert)."
CAND_0064326,7,0.598631,"8-year Search Engineer at Sarvam AI with hands-on with embedding, pinecone, rag; strong Python (expert); production ML deployment experience."
CAND_0017960,8,0.596210,"8-year Recommendation Systems Engineer at Nykaa with hands-on with embedding, faiss, qdrant; strong Python (advanced); production ML deployment experience."
CAND_0008425,9,0.595669,"8-year Senior NLP Engineer at Ola with hands-on with embedding, vector, qdrant; strong Python (expert); production ML deployment experience. Concerns: 90-day notice period."
CAND_0070398,10,0.594053,"7-year Machine Learning Engineer at Genpact AI with hands-on with embedding, vector, faiss; strong Python (expert); production ML deployment experience. Concerns: 120-day notice period."
CAND_0011687,11,0.591968,"8-year Senior NLP Engineer at Niramai with hands-on with embedding, faiss, pinecone; production ML deployment experience; tier-1 institution (IIT Delhi)."
CAND_0046525,12,0.589529,"6-year Senior Machine Learning Engineer at Genpact AI with hands-on with embedding, vector, faiss; tier-1 institution (IIT Hyderabad); verified LangChain score 96/100."
CAND_0080766,13,0.589138,"9-year Staff Machine Learning Engineer at Salesforce with hands-on with embedding, vector, ranking; strong Python (expert); production ML deployment experience. Concerns: not marked open to work."
CAND_0062247,14,0.585575,"7-year AI Engineer at Google with hands-on with embedding, vector, faiss; tier-1 institution (IIT Bombay)."
CAND_0033861,15,0.584306,"8-year Senior NLP Engineer at Mad Street Den with hands-on with embedding, vector, qdrant; production ML deployment experience; tier-1 institution (IIT Madras). Concerns: last active 115 days ago; not marked open to work."
CAND_0005649,16,0.584282,"7-year Senior Data Scientist at Sarvam AI with hands-on with embedding, faiss, pinecone; production ML deployment experience. Concerns: 90-day notice period."
CAND_0044855,17,0.584185,"7-year Senior Data Scientist at Flipkart with hands-on with embedding, vector, faiss; verified BentoML score 80/100. Concerns: not marked open to work."
CAND_0079387,18,0.583605,"7-year AI Engineer at Microsoft with hands-on with embedding, vector, faiss; strong Python (expert); production ML deployment experience."
CAND_0041669,19,0.582445,"8-year Recommendation Systems Engineer at CRED with hands-on with embedding, faiss, qdrant; tier-1 institution (IIT Guwahati); verified FAISS score 84/100."
CAND_0083307,20,0.581032,"8-year Search Engineer at CRED with hands-on with embedding, vector, faiss; strong Python (expert). Concerns: 120-day notice period."
CAND_0068811,21,0.579248,"8-year Applied ML Engineer at Freshworks with hands-on with embedding, vector, qdrant; production ML deployment experience."
CAND_0044222,22,0.574489,"8-year AI Engineer at PolicyBazaar with hands-on with embedding, vector, faiss; production ML deployment experience; tier-1 institution (IISc Bangalore)."
